Id,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input
234,-0.61429+0.2884i,1.1116-0.21464i,-0.19832-0.67433i,-0.93129+1.0904i,-0.043838-0.94648i,-0.44058+0.37623i,1.445+0.23992i,-1.1763-0.73851i,0.96726+0.7279i,-0.76789+0.09391i,0.29436-1.3238i,0.036036+0.32822i,0.57333+0.28614i,-0.62534-0.48333i,-0.010755+0.62055i,0.33836+0.59105i,-0.67822-0.55529i,0.20741-0.054761i,0.1998-0.70122i,-0.1555-0.59044i,0.16642+0.054594i,0.99956+0.43215i,-0.064302-0.36038i,-0.89621+0.29801i,0.40438+0.7924i,0.2721-0.38066i,-1.179+0.29475i,1.1389+0.34206i,-1.171-0.079728i,0.58843+0.0057297i,0.65249-0.50839i,-1.243+0.13484i,0.95932+0.71282i,-0.73695-1.4972i,0.54298+0.63761i,0.13357+0.64443i,-0.55322-1.047i,-0.013555+0.63847i,1.0499-0.015043i,-0.78663-0.51374i,0.23565-0.020283i,-0.94969+0.57438i,0.061025-0.11759i,0.4523-1.2788i,0.41688+0.58077i,0.45367+0.26172i,-1.3124+0.1869i,0.48642+0.59071i,0.1245-1.3413i,0.29667+1.1441i,0.36314-0.37509i,0.0037074-0.50241i,-0.6822-0.38654i,-0.18312+0.12204i,0.89872-0.3681i,0.19846+1.0556i,-1.1067-0.60064i,-0.0054593-0.3436i,0.53212-0.61136i,-0.010063+0.7629i,-0.81346-0.04516i,0.23824-0.33769i,0.84058+0.54626i,-0.28916-0.59729i,0.88639-0.028639i,-0.46217+1.5214i,-0.52504-1.1466i,0.40563+0.44489i,-0.26035+0.45139i,-0.14145-0.16936i,-0.38922-1.013i,-0.0039634-0.1814i,0.18397+1.0603i,0.014804-1.1836i,-0.46074+0.56974i,1.1308-0.30525i,0.68189+0.1108i,-0.71695+1.1095i,-1.1271-0.30455i,0.80538+0.10912i,-0.17051-0.81448i,0.5595+1.1391i,-0.39371-1.1595i,-0.25505+0.7241i,0.037487-0.98062i,-0.37905+1.1897i,0.83161+0.21384i,0.26211-0.18087i,-0.57285-0.84287i,0.2621+0.83437i,0.061938+0.41539i,-0.83893+0.14428i,0.10296-1.1323i,-0.48901+0.5286i,0.66737+0.25393i,-0.2366-1.1548i,0.68558+1.3453i,-0.76583-0.3149i,0.73632-0.81012i,-0.12785+0.78157i,-0.18843-0.21665i
235,0.44841+0.75078i,-0.60472-0.16426i,0.95094-0.6177i,-1.102-0.047197i,-0.37215+0.42276i,0.48516-0.96672i,0.080033-0.1626i,-0.031583+0.035588i,-0.55805+0.28725i,0.69383+0.96868i,-0.13953-1.7399i,0.50072+0.081693i,0.20617+0.19766i,-0.43758-0.74882i,0.27242+1.4857i,-0.58752+0.0085896i,-0.35624-0.081783i,0.82366-0.62975i,-0.39368-0.06781i,-0.028093-0.39745i,0.45072-0.41952i,-0.44353+0.29078i,0.50489+1.0591i,-0.15812-1.2707i,0.27063+0.8249i,-0.65354-0.88716i,0.21827-0.091553i,1.3991+0.28472i,-1.0761+0.81795i,0.58804-0.55538i,0.000626-0.57448i,0.52246+0.17262i,0.59416+0.26976i,-1.4798+0.24693i,0.34168-0.036024i,0.62035+0.2143i,-0.14188+0.79371i,-0.79614-0.30589i,0.83209-0.17587i,-0.5183+0.5331i,0.67315-0.19052i,-0.67544+0.43914i,-0.33508-1.1641i,0.78294+0.68717i,0.20442-0.022209i,-1.0439-0.18665i,0.64145-0.70497i,0.55001+0.42034i,0.12354+0.82713i,0.13186-0.32124i,-0.72342-1.0577i,1.0133+0.40206i,-0.17218-0.29434i,0.37965+1.1431i,-0.086782-0.44102i,-0.77337+0.53673i,0.29108-0.20039i,0.40038+0.62483i,-0.55729-0.99731i,0.94791+0.52793i,-1.2369-0.26706i,1.5342-0.054525i,-0.83546+0.42846i,-0.23179-1.1823i,1.1207+1.02i,-1.4774+0.094064i,0.94514-0.10729i,0.30809-0.30651i,0.27867+0.66406i,-0.75219+0.63397i,0.82902-0.85244i,-1.0259+0.29901i,-0.020585+0.57997i,-0.34102-0.84955i,0.39561-0.36507i,-0.46772-0.18184i,1.623+0.16414i,-0.5729+0.063094i,-0.74815+0.79108i,0.54139+0.56528i,-0.16555-1.2068i,-0.7306+0.22495i,0.084902-0.76437i,0.84748-0.19238i,-0.52766-0.27572i,0.46081+1.1844i,0.11523-0.91781i,0.44014+1.0048i,-1.4373-0.04935i,1.3888-0.0087789i,0.52015-0.37679i,-1.1217-0.29086i,-0.59832+0.77156i,0.63324+0.29161i,0.61773-0.46881i,-0.71541-0.2305i,0.93617+0.51117i,-1.7022-0.01462i,1.1567-0.50086i,-0.37832-0.87939i,0.29752+0.82342i
236,-0.11971-0.70724i,0.26201+1.3042i,0.51441-0.70824i,-0.67456-0.5212i,0.88678+0.44392i,-0.72086-0.53148i,-0.52816+0.67171i,0.67915+0.54623i,-0.3311-1.2934i,0.31245+1.2911i,-0.069445+0.14597i,-0.35034-1.2555i,0.31462+1.2747i,0.48859-0.67956i,-1.3356+0.29441i,0.66203+0.57155i,0.53931-0.66572i,-1.2299+0.31817i,1.2728-0.35285i,-0.67984-0.53279i,-0.51232+0.70733i,0.6474+0.52613i,-0.32024-1.2576i,0.89998+0.4066i,-0.44253+0.91736i,-0.94057-0.44115i,-0.15127-0.075535i,-0.15915-0.043246i,1.2687-0.32704i,0.14372+0.050802i,-0.40022+0.92903i,-0.94927-0.43428i,0.41922-0.90176i,-0.52147+0.68527i,1.3059-0.37647i,-0.66525-0.51623i,0.89101+0.46058i,-1.2872+0.31838i,0.45363-0.91053i,-0.53876+0.71047i,0.43419-0.9295i,-0.58193+0.66759i,0.66464+0.49622i,-0.051627+0.18943i,0.50259-0.66908i,-0.69062-0.55054i,0.076482-0.16768i,0.057844-0.15913i,0.93631+0.43565i,-0.4562+0.88927i,-0.020324+0.13341i,-0.93061-0.40863i,-0.14418-0.049671i,0.70981+0.51581i,-0.89517-0.4161i,0.67532+0.54244i,0.49075-0.66985i,-1.2778+0.30689i,-0.16196-0.11128i,0.72541+0.57621i,-0.037709+0.15514i,-0.92635-0.45331i,-0.15114-0.062846i,1.2683-0.30574i,-1.3028+0.33445i,1.305-0.34545i,-1.2652+0.30598i,1.3045-0.36416i,-1.2741+0.30565i,0.42661-0.90552i,0.91603+0.45102i,-0.43306+0.91879i,-0.095971+0.19398i,0.56393-0.72449i,-1.2716+0.32071i,0.66805+0.57121i,-0.91181-0.40299i,1.3167-0.26546i,-0.44358+0.9175i,0.54416-0.61754i,-0.43947+0.88769i,0.51456-0.6661i,-0.66459-0.50859i,0.099628-0.14744i,0.30602+1.2878i,0.52763-0.69807i,-0.67744-0.49908i,0.31959+1.272i,-0.90339-0.43683i,0.4665-0.86781i,0.038487-0.15927i,-0.52509+0.70192i,-0.16243-0.034178i,-0.13046-0.081445i,0.42071-0.95006i,0.29252+1.3255i,-0.074062+0.14277i,-0.29721-1.2885i,-0.52532+0.71896i,0.66173+0.58705i,-0.17025-0.5682i
237,0.72402-0.15007i,-0.70484-0.53462i,-0.51346+0.64279i,1.2437-0.29269i,-1.2745+0.30271i,0.65341+0.48991i,-0.36659-1.2976i,0.28838+1.289i,0.5204-0.7038i,-0.69255-0.5385i,0.86331+0.45347i,-0.45117+0.89077i,0.56971-0.64547i,0.14529+0.069225i,-0.43488+0.95329i,-0.32477-1.2508i,-0.5209+0.69048i,1.2771-0.33336i,-0.70392-0.50782i,0.079541-0.17782i,0.060573-0.20316i,0.32274+1.2708i,-0.91428-0.43324i,0.44787-0.93341i,0.30269+1.2947i,-0.95193-0.45566i,1.2617-0.31272i,-0.67032-0.54698i,-0.49151+0.68896i,0.43563-0.90457i,0.9258+0.45006i,0.14551+0.085062i,-1.2981+0.30386i,0.69383+0.50585i,-0.095656+0.14973i,-0.31952-1.2759i,0.082156-0.19064i,-0.52677+0.70433i,1.2668-0.32752i,-0.71593-0.54208i,-0.52083+0.68018i,-0.18912-0.07159i,-0.15044-0.071601i,0.42638-0.92221i,0.3375+1.308i,-0.059603+0.20185i,0.53885-0.70174i,-0.49935+0.88787i,-0.065568+0.17716i,0.52645-0.67205i,-0.65543-0.53896i,0.30342+1.2565i,-0.061104+0.15395i,-0.89679-0.39927i,-0.18139-0.087i,1.2523-0.33409i,-0.66555-0.55686i,0.88472+0.48397i,0.17045+0.062377i,-0.67962-0.56094i,-0.45868+0.72695i,0.4133-0.89503i,0.90906+0.42477i,-0.47214+0.94144i,-0.92253-0.46064i,-0.16972-0.083776i,0.64992+0.53624i,-0.29937-1.2977i,0.29973+1.2998i,-0.33977-1.2633i,0.95031+0.43179i,0.1634+0.070349i,-0.67543-0.53169i,0.88459+0.43898i,0.14619+0.054001i,0.16019+0.12408i,0.16937+0.077712i,0.17971+0.071136i,-1.2686+0.28134i,1.3059-0.28205i,0.16304+0.043172i,-1.2652+0.32248i,0.41447-0.86982i,0.08811-0.1427i,-0.54716+0.67956i,-0.14472-0.092871i,-0.16497-0.054638i,-0.13745-0.084637i,1.2497-0.34418i,-0.68083-0.52932i,0.31789+1.2853i,-0.32377-1.242i,0.31982+1.2594i,-0.12112+0.16129i,0.49012-0.70727i,0.17577+0.057205i,-1.2406+0.3184i,1.2841-0.30939i,-0.44291+0.88714i,0.55985-0.70279i,-0.54325+0.18902i
238,1.091-0.18748i,-1.8092+0.30422i,-0.18309+0.16145i,-0.29187-0.37392i,1.1945+0.30229i,-0.38139-1.2087i,-0.080782+0.47129i,-0.56976-0.016462i,0.95183+0.60071i,0.07206-0.015181i,0.47326-0.10474i,-1.1573+0.08418i,0.68758-0.83173i,-0.29427-0.14152i,0.59754+1.0027i,-0.55726-0.57056i,-0.35336+0.7638i,1.1522-0.66223i,-0.094194+0.45134i,0.0030992+0.61277i,-1.231-0.36825i,0.51346+0.13881i,1.1267-0.44755i,-1.016+0.65056i,0.22672-1.1067i,-1.1309+0.85341i,1.1287-0.51247i,-1.1663+0.20004i,0.94419+0.98038i,-0.50801-0.32427i,-0.3006-0.39658i,-0.16939-0.34463i,-0.25766-0.21281i,-0.51052+0.36442i,1.227-0.68104i,0.2844+0.89488i,-0.4852-1.0265i,0.83342+0.40649i,-0.75297+1.0432i,0.051198-1.6638i,0.78279+0.80123i,-0.2566+0.65564i,-0.79085-1.1552i,0.45778+1.5031i,-0.2923+0.077293i,-0.30895-0.76311i,-0.082343-0.37305i,0.11729+0.79021i,-0.10185+0.057978i,-0.60044-0.77812i,0.59083+0.35889i,-0.62332-0.69537i,-0.036271-0.20419i,0.97317-0.082913i,-0.56963+0.56597i,0.58371+0.18404i,-0.47881-0.7532i,-0.24336+1.1026i,-0.22226+0.11084i,-0.34097-0.060028i,-0.23029-0.26963i,0.77842-0.18556i,-0.11182+0.7388i,-0.83767-0.64897i,0.49349-0.21904i,0.81311-0.012035i,-0.35237+0.76305i,0.31757+0.10463i,-1.1229-0.092142i,0.40571-1.2351i,0.27768+0.74193i,-0.034434+0.50047i,-0.29208+0.46502i,0.38354-1.3837i,0.63892+0.75985i,-1.0223+0.16626i,-0.36821-0.76379i,0.66409+1.1064i,-0.12213-1.2925i,-0.71209+0.20776i,0.95648-0.48519i,-0.79652+0.90779i,0.19376-0.098954i,0.59649+0.22177i,-0.052621-0.17997i,-0.87939-0.58994i,1.1042+0.92518i,-1.0034-0.2819i,0.69106+0.75312i,-0.76123-1.1181i,0.48177-0.064817i,-0.082343+0.97372i,0.677-1.027i,-0.45606+0.93024i,-0.66427+0.19799i,1.4679-0.71772i,-1.7546+0.64267i,0.64477-0.51486i,-0.34958-0.58784i,0.61343+1.345i,-0.2441-0.55477i
239,-0.13833-0.75534i,-0.5176+0.66963i,-0.164-0.052999i,0.45719-0.9188i,0.09348-0.15903i,0.30927+1.302i,0.5141-0.66615i,-0.44915+0.91417i,0.51359-0.67652i,-0.67136-0.50969i,0.31874+1.2441i,-0.047703+0.1715i,-0.31472-1.2919i,0.35241+1.2999i,0.54879-0.66598i,-0.43139+0.86637i,0.53471-0.68932i,-0.45695+0.9025i,-0.085728+0.1651i,-0.875-0.42222i,0.40848-0.87093i,0.93979+0.43836i,-1.2502+0.29838i,0.64171+0.54237i,-0.056358+0.17039i,-0.91234-0.40641i,0.45684-0.91269i,-0.51583+0.69618i,1.2732-0.32236i,0.19651+0.094068i,-0.64334-0.5092i,0.030703-0.17546i,0.91015+0.44131i,-0.38848+0.94199i,0.55285-0.68843i,-0.42407+0.92077i,-0.067747+0.2266i,-0.065594+0.15566i,-0.078372+0.1677i,-0.11544+0.17435i,0.51351-0.64268i,-1.3136+0.3188i,0.38493-0.92184i,-0.53673+0.69074i,-0.14107-0.050986i,-0.16852-0.055309i,1.2813-0.34573i,0.16887+0.085629i,0.1365+0.062587i,-0.42117+0.91608i,-0.30447-1.2808i,-0.5024+0.70576i,0.41496-0.93275i,-0.49944+0.68597i,1.318-0.3509i,-0.67553-0.52392i,0.90643+0.46232i,-1.2899+0.32484i,0.44531-0.91688i,-0.54011+0.64914i,-0.15643-0.025819i,0.44743-0.93986i,0.89833+0.44324i,-1.2418+0.31328i,0.65766+0.53045i,-0.042108+0.17369i,-0.92976-0.4316i,0.42355-0.90578i,0.32766+1.297i,-0.32459-1.2853i,0.32044+1.2736i,0.5364-0.67343i,-0.67411-0.50006i,0.060367-0.18787i,0.86776+0.48344i,-0.69472-0.49325i,-0.54379+0.68043i,-0.17821-0.075795i,1.2294-0.30667i,0.13999+0.066725i,-1.2786+0.31016i,0.4685-0.92132i,0.92496+0.46815i,-0.70122-0.53003i,0.0376-0.12539i,0.00065343-0.18116i,-0.54458+0.71638i,1.2871-0.34731i,0.15821+0.081806i,-1.2895+0.33993i,1.2805-0.34357i,-0.65762-0.52713i,0.044311-0.16784i,0.31886+1.2422i,-0.065887+0.14866i,-0.070615+0.16287i,-0.29924-1.2157i,0.33553+1.2859i,-0.33335-1.2496i,0.3099+1.2949i,-0.18896-0.56994i
240,-0.95866+0.17446i,1.3421-0.66772i,-1.3823+0.6184i,0.1665+0.2087i,0.23847-1.3975i,0.44396+1.7537i,0.17209-0.17395i,-0.25758+0.55871i,0.33136-1.191i,0.027058+1.0024i,-1.1811-0.64883i,0.81335-0.66101i,0.35647+1.1718i,-0.19622-1.1017i,0.13076-0.084749i,-1.0136+0.76408i,0.36037-0.86856i,1.0127-0.0088853i,0.28722+0.61895i,0.40256-0.23004i,-1.0926+0.34339i,0.4682-0.78275i,0.87591+0.40804i,0.22618+0.092576i,-1.3824+0.74434i,0.46786-0.1012i,-0.48011-0.82912i,0.1377+0.49058i,0.29439+0.25295i,0.32289+0.36279i,-1.412-0.27019i,0.95652-0.89519i,-1.0358+0.75205i,0.53674+0.43012i,0.0075524-0.94438i,0.037746-0.087284i,0.51891+0.82884i,-1.4118-0.25481i,0.19734+0.1768i,0.73006-0.42823i,-0.18744+0.38924i,0.059429+0.71174i,-0.34196-1.0654i,-0.20032+0.26444i,0.57811-0.12409i,-0.29038-0.26537i,0.53839+0.7973i,-0.10491-0.45894i,0.42923+0.27898i,-0.91333-0.040567i,-0.32801+0.35018i,-0.58531-0.2746i,0.4665-0.21054i,-0.048384-0.058643i,-0.20364-0.65448i,0.4399+0.70636i,0.26556-0.322i,0.72932-0.056467i,-0.17123-0.16278i,-1.1124+0.23027i,1.3094+0.32882i,-0.50579+0.21924i,0.8479-0.37929i,-0.57121-0.46807i,-0.27933+1.2872i,0.51847+0.014183i,-0.76106-0.3489i,-0.077317-0.020125i,0.4194+0.86692i,-0.80033-0.34847i,0.7165-0.44171i,-0.38324-0.85371i,0.10066-0.20818i,-0.045603+0.77337i,0.66435+0.4812i,-1.3905-0.27342i,0.96289-0.96404i,0.86996+0.38028i,-0.43278+0.20117i,-0.94167-0.14646i,0.83487-0.64257i,0.9015+0.43268i,-0.8077-0.06492i,0.058152-0.075296i,1.0323+0.038439i,-0.92259-0.71812i,-0.066408+0.81573i,0.19998-0.41308i,0.042628-0.049564i,0.27236-0.47624i,-1.0155+0.72233i,0.32497-0.8446i,1.1734+0.66744i,-1.17+0.36945i,0.58076+0.5495i,0.16285-0.20006i,-1.1316-0.58727i,0.79754-0.62459i,-0.67766+1.0472i,-0.56559-0.30826i,0.73727-0.27152i
241,-0.74445+0.11804i,1.2577-0.32542i,-1.2744+0.31272i,1.2976-0.36152i,0.15213+0.085706i,-0.66516-0.54426i,0.91742+0.45423i,-1.2682+0.28674i,0.661+0.52248i,-0.93576-0.44439i,1.2874-0.29238i,-0.67747-0.52127i,0.070471-0.17299i,0.043675-0.15541i,0.054573-0.22174i,-0.51029+0.69716i,0.42997-0.9423i,0.90794+0.45044i,0.16838+0.071736i,-0.44886+0.94635i,-0.8838-0.48856i,0.6931+0.51858i,-0.065151+0.14188i,-0.33208-1.2729i,0.29106+1.2865i,-0.049791+0.1754i,-0.31563-1.2768i,0.93353+0.44794i,-0.44869+0.85926i,-0.91154-0.42436i,0.65024+0.4996i,0.52892-0.66363i,0.13205+0.073741i,0.12164+0.045678i,-1.2904+0.31812i,0.44253-0.91775i,0.90499+0.39581i,-0.41991+0.9079i,-0.095207+0.16636i,0.50691-0.7362i,-0.43827+0.86816i,-0.32366-1.2774i,0.315+1.2447i,0.53488-0.69598i,-1.254+0.28755i,0.60763+0.4919i,-0.29196-1.3095i,-0.52683+0.66457i,0.43958-0.92078i,0.031295-0.13035i,0.33191+1.2782i,-0.051313+0.18389i,-0.91008-0.44212i,-0.22224-0.057198i,-0.15024-0.10363i,0.68671+0.53245i,-0.073852+0.13297i,0.55788-0.69732i,0.12927+0.077644i,-0.7173-0.53937i,0.048591-0.16523i,-0.52962+0.66156i,1.2579-0.2977i,0.17209+0.049682i,-0.41968+0.90383i,0.53369-0.69984i,0.18312+0.051436i,0.13965+0.062354i,-1.3064+0.3109i,-0.165-0.063672i,0.665+0.55415i,0.54174-0.69808i,-0.44812+0.91497i,-0.91689-0.40317i,0.43705-0.90934i,0.32234+1.2898i,0.53895-0.68728i,0.13528+0.0063824i,0.20706+0.032064i,-1.2565+0.35924i,0.39278-0.88904i,0.053028-0.17585i,-0.52531+0.69657i,0.43301-0.94994i,0.097688-0.13915i,-0.53772+0.71525i,1.2684-0.30001i,-0.44369+0.90056i,-0.89406-0.43131i,1.3131-0.28223i,0.15142+0.099887i,-1.2732+0.27588i,0.6799+0.50664i,-0.31266-1.2963i,-0.52695+0.65059i,0.69956+0.55469i,-0.30267-1.3155i,-0.51429+0.6462i,0.42559-0.88737i,0.32111+1.2697i,-0.16866-0.56925i
242,-0.97841+0.16557i,0.41122-0.16946i,-0.31201+0.33394i,0.37414-0.74866i,-0.51396+0.68258i,0.53597+0.5478i,-0.95373-0.97396i,0.26762+0.16394i,-0.49773-0.31057i,0.27628+0.14872i,0.93778+0.15083i,-0.61703-0.42104i,0.5464+0.8305i,-0.59445-1.3868i,0.96712+0.93935i,-1.2533-0.26814i,-0.022979+0.5368i,-0.29023-0.64757i,0.15511-0.51078i,0.24301-0.54589i,0.33742+1.0137i,-0.552-0.83999i,0.86074+1.0145i,-0.57044-1.3849i,0.68619+1.3471i,-0.85984-1.0194i,0.24941-0.55279i,0.07457+1.4447i,0.29472-1.2671i,0.37034+1.1681i,-0.84724-0.97306i,0.81478+0.99683i,0.55993-0.62208i,-0.68754+0.5733i,-0.23569-1.2002i,-0.071635+0.79491i,1.19-0.25589i,-0.33152+0.81638i,-0.098381-0.47466i,-0.030901-0.63417i,0.10155+1.5388i,-0.19858-0.43614i,0.35041+0.35082i,-0.079819-0.4757i,0.3282-0.33324i,-0.75297+0.51393i,0.43473+0.90915i,-0.70176-1.357i,0.86084+1.0223i,-1.0344+0.012905i,0.62277-1.0557i,0.094855+1.5586i,0.028204-0.82608i,-0.4176-0.91751i,0.90799+0.98368i,-0.14108+0.52211i,-0.8489-1.004i,-0.31775+0.20988i,1.0066+0.66608i,0.023668+0.16248i,0.13976-0.83181i,-0.55736-0.53884i,-0.058665+0.79155i,0.063483+0.60533i,0.52225+0.011254i,-0.36093-0.08511i,-0.40017-0.19623i,0.47417-0.74591i,-0.090699+0.27231i,0.31399-0.4727i,0.1193-0.11467i,-0.34058+0.64252i,0.94234+0.13671i,0.3556-0.2507i,-0.97224+1.0012i,1.0095-0.7809i,-1.1587-0.30988i,0.73726+0.36656i,-0.58306+0.17701i,0.058437+0.60274i,-0.33264-1.1631i,0.77054+0.3562i,-0.19547+0.46169i,-0.67292+0.19196i,0.36765-0.71339i,0.77541+0.4725i,-1.5624+0.024478i,0.9133+0.69177i,-0.44512-0.056459i,-0.10303+0.13705i,-0.20936-0.53144i,-0.43194-0.2703i,0.78357-0.62674i,0.13373-0.099029i,0.22131+0.52122i,-0.30446-0.23205i,-0.33976-0.28904i,0.64902-0.28737i,0.90628+0.44969i,-1.4381+0.055016i,0.58246+0.05652i
243,-0.52159+0.46256i,0.1017-0.36339i,-0.0091326+0.63893i,0.41719-0.63404i,-0.98233-0.11192i,-0.10411-0.10707i,1.2837+0.27614i,-0.40102+0.85746i,-0.21296-0.41015i,-1.0321-0.068921i,0.033374-0.49326i,0.18517-0.47659i,0.83878+0.96512i,-1.3783-0.28625i,0.42274-0.20109i,0.52649-0.12131i,-0.72712-0.48232i,0.36561+0.084917i,-0.24596+0.31974i,0.012535+0.6022i,1.0458-0.73182i,-0.49687-0.43367i,-1.025+0.74105i,0.79868+0.050002i,0.33697+0.34881i,-1.0294+0.022802i,0.99406-0.87596i,0.55172+0.24674i,-0.55923+1.2364i,-0.95266-0.9893i,-0.39377+0.25668i,0.60765-1.212i,0.94559+0.93546i,-0.91631-0.039849i,-0.33029+0.3823i,0.70566-0.49327i,-0.93606-0.14091i,-0.11231-0.13741i,1.306+0.30458i,0.38816-0.17037i,-1.2051-0.33366i,1.4208+0.28249i,-0.04738+0.47744i,-0.044787-0.49419i,0.55514+0.26577i,-0.28554+0.83393i,-1.379-0.26342i,0.9345+0.76621i,-0.19428-0.40879i,-0.014859+0.075425i,0.87367-0.44835i,-1.7345+0.44593i,0.32816-0.84545i,0.36718+0.11214i,-0.65878+0.058956i,1.322+0.26162i,-0.76477-1.0338i,-0.033829+0.78025i,0.59519-0.19623i,-0.56533+0.13354i,0.56949-0.17341i,-0.70621-0.4633i,1.1355+0.64823i,-0.15164+0.53486i,-0.094669-0.45793i,0.14847+0.66869i,-0.2105-1.1342i,-1.0115+0.70615i,1.163+0.35376i,-0.88245-1.0158i,-0.14284+0.85356i,1.3676-0.60265i,-0.98306+0.93834i,0.75028-0.38828i,-0.010454-0.51923i,-0.092956+0.33268i,0.78099-0.074722i,-0.57027+1.2044i,-0.45222-0.049906i,-0.27625-0.51421i,0.0035743+0.60798i,0.39994-0.67808i,0.47408+0.3539i,-0.62234-0.39443i,0.67998-0.18637i,0.52399+0.29194i,-0.53819-0.44327i,0.18562-0.12003i,0.86435+0.43604i,-1.6618+0.43389i,0.087955-0.46978i,0.82566-0.6317i,-0.13232+0.27022i,0.13367+0.58834i,-0.68078+0.15536i,0.60025+0.54021i,-0.07441-1.4596i,0.14629-0.12491i,-1.0732+0.72073i,1.1856+0.34173i,-0.47141-0.44488i
244,-0.73489+0.41778i,0.079927-0.084105i,0.12938-0.34419i,0.15524-0.97312i,-0.2446+1.5139i,-0.5518-0.45296i,-0.47939-0.016112i,0.6522-0.62635i,0.32619+0.96933i,-0.18729+0.35933i,-0.84295-0.32431i,-0.033004-0.20159i,0.83639-1.0238i,-0.39632+0.62456i,0.50054+0.37363i,-0.65131-0.89029i,0.29248+0.59281i,-0.0075038+0.81471i,0.69879-0.56178i,-0.86147+0.81947i,-0.41256-0.60782i,-0.0055459-0.51775i,-0.31655+0.23392i,0.43309-0.5483i,-0.65805+0.18819i,0.10906-0.48857i,0.42928-0.1394i,-0.28829+0.73745i,1.1006-0.16793i,-1.243-0.55687i,0.015095+0.12252i,-0.30266+0.24617i,1.7165-0.40772i,-0.87067-0.6751i,0.82604+1.1164i,0.10156-0.63078i,-0.82669-0.46038i,0.47929+0.33157i,-0.27718+0.82123i,1.1019-0.42034i,0.034212+0.344i,-0.11223+0.55233i,-0.98518-0.27919i,0.52995-1.0012i,-0.94307+1.0338i,0.53413-0.049481i,-0.37446-0.73218i,-0.53099+0.5933i,0.51992+0.50772i,-0.69486-0.22518i,1.496-0.41025i,-0.6135+1.2514i,-0.30083-1.7891i,0.37538+1.8672i,-0.035034-0.2684i,-0.29968+0.22504i,0.14153+0.54473i,-0.18323-1.209i,0.9257+0.28856i,0.17024-0.21103i,-0.43219+0.98781i,0.1834+0.32305i,-0.47677-1.4881i,1.1969+0.60326i,-0.97729-0.49079i,0.91169+0.98831i,-0.68724-0.96013i,-0.43945+0.57937i,0.53022+0.0822i,0.61894-0.019071i,-1.2302-0.29246i,0.89585-0.33079i,0.86659+0.43776i,-0.4126-0.5959i,-0.85352+0.57028i,0.21139+0.18206i,-0.4604-0.23549i,1.0641+0.16743i,-1.4716-0.1579i,1.4591-0.61765i,-0.48974+0.6178i,0.21792-0.66083i,0.4416+0.64933i,0.068982-0.68205i,-1.32+0.8835i,-0.015421+0.071155i,1.3773-0.26274i,0.034092-0.47448i,-1.1148-0.11078i,0.50797+1.0013i,0.30801-0.46328i,-0.47297-0.28231i,0.24984-0.42736i,0.45185+0.15837i,0.42909+0.7256i,-0.2653-0.91901i,0.21466+0.2405i,-1.2053+0.6969i,0.37196-0.13565i,0.16972-0.34349i,0.055318+0.12318i
